hadoop.common.configuration.version,version of this configuration file,0.23.0
dfs.client.test.drop.namenode.response.number, The number of Namenode responses dropped by DFSClient for each RPC call.  Used for testing the NN retry cache.  ,0
dfs.client.hedged.read.threadpool.size," Support 'hedged' reads in DFSClient. To enable this feature, set the parameter to a positive number. The threadpool size is how many threads to dedicate to the running of these 'hedged', concurrent reads in your client.  ",0
dfs.client.hedged.read.threshold.millis, Configure 'hedged' reads in DFSClient. This is the number of milliseconds to wait before starting up a 'hedged' read.  ,500
dfs.client.use.legacy.blockreader," If true, use the RemoteBlockReader class for local read short circuit.  If false, use the newer RemoteBlockReader2 class.  ",false
dfs.client.write.byte-array-manager.count-limit, The maximum number of arrays allowed for each array length.  ,2048
dfs.client.write.byte-array-manager.count-reset-time-period-ms, The time period in milliseconds that the allocation count for each array length is reset to zero if there is no increment.  ,10000
dfs.client.write.byte-array-manager.count-threshold," The count threshold for each array length so that a manager is created only after the allocation count exceeds the threshold. In other words, the particular array length is not managed until the allocation count exceeds the threshold.  ",128
dfs.client.write.byte-array-manager.enabled," If true, enables byte array manager used by DFSOutputStream.  ",false
dfs.client.write.max-packets-in-flight, The maximum number of DFSPackets allowed in flight.  ,80
dfs.content-summary.limit, The maximum content summary counts allowed in one locking period. 0 or a negative number means no limit (i.e. no yielding).  ,5000
dfs.content-summary.sleep-microsec," The length of time in microseconds to put the thread to sleep, between reaquiring the locks in content summary computation.  ",500
dfs.data.transfer.client.tcpnodelay," If true, set TCP_NODELAY to sockets for transferring data from DFS client.  ",true
dfs.datanode.balance.max.concurrent.moves," Maximum number of threads for Datanode balancer pending moves.  This value is reconfigurable via the ""dfsadmin -reconfig"" command.  ",50
dfs.datanode.fsdataset.factory, The class name for the underlying storage that stores replicas for a Datanode.  Defaults to org.apache.hadoop.hdfs.server.datanode.fsdataset.impl.FsDatasetFactory.  ,
dfs.datanode.fsdataset.volume.choosing.policy," The class name of the policy for choosing volumes in the list of directories.  Defaults to org.apache.hadoop.hdfs.server.datanode.fsdataset.RoundRobinVolumeChoosingPolicy. If you would like to take into account available disk space, set the value to ""org.apache.hadoop.hdfs.server.datanode.fsdataset.AvailableSpaceVolumeChoosingPolicy"".  ",
dfs.datanode.hostname, Optional.  The hostname for the Datanode containing this configuration file.  Will be different for each machine. Defaults to current hostname.  ,
dfs.datanode.lazywriter.interval.sec, Interval in seconds for Datanodes for lazy persist writes.  ,60
dfs.datanode.network.counts.cache.max.size, The maximum number of entries the datanode per-host network error count cache may contain.  ,2147483647
dfs.datanode.oob.timeout-ms," Timeout value when sending OOB response for each OOB type, which are OOB_RESTART, OOB_RESERVED1, OOB_RESERVED2, and OOB_RESERVED3, respectively.  Currently, only OOB_RESTART is used.  ","1500,0,0,0"
dfs.datanode.parallel.volumes.load.threads.num, Maximum number of threads to use for upgrading data directories. The default value is the number of storage directories in the DataNode.  ,
dfs.datanode.ram.disk.replica.tracker, Name of the class implementing the RamDiskReplicaTracker interface. Defaults to org.apache.hadoop.hdfs.server.datanode.fsdataset.impl.RamDiskReplicaLruTracker.  ,
dfs.datanode.restart.replica.expiration," During shutdown for restart, the amount of time in seconds budgeted for datanode restart.  ",50
dfs.datanode.socket.reuse.keepalive," The window of time in ms before the DataXceiver closes a socket for a single request.  If a second request occurs within that window, the socket can be reused.  ",4000
dfs.datanode.socket.write.timeout, Timeout in ms for clients socket writes to DataNodes.  ,480000
dfs.datanode.sync.behind.writes.in.background," If set to true, then sync_file_range() system call will occur asynchronously.  This property is only valid when the property dfs.datanode.sync.behind.writes is true.  ",false
dfs.datanode.transferTo.allowed," If false, break block transfers on 32-bit machines greater than or equal to 2GB into smaller chunks.  ",true
dfs.ha.fencing.methods, A list of scripts or Java classes which will be used to fence the Active NameNode during a failover.  See the HDFS High Availability documentation for details on automatic HA configuration.  ,
dfs.ha.standby.checkpoints," If true, a NameNode in Standby state periodically takes a checkpoint of the namespace, saves it to its local storage and then upload to the remote NameNode.  ",true
dfs.ha.zkfc.port, The port number that the zookeeper failover controller RPC server binds to.  ,8019
dfs.http.port," The http port for used for Hftp, HttpFS, and WebHdfs file systems.  ",
dfs.https.port, The https port for used for Hsftp and SWebHdfs file systems.  ,
dfs.journalnode.edits.dir, The directory where the journal edit files are stored.  ,/tmp/hadoop/dfs/journalnode/
dfs.journalnode.kerberos.internal.spnego.principal, Kerberos SPNEGO principal name used by the journal node.  ,
dfs.journalnode.kerberos.principal, Kerberos principal name for the journal node.  ,
dfs.journalnode.keytab.file, Kerberos keytab file for the journal node.  ,
dfs.ls.limit," Limit the number of files printed by ls. If less or equal to zero, at most DFS_LIST_LIMIT_DEFAULT (= 1000) will be printed.  ",1000
dfs.mover.movedWinWidth," The minimum time interval, in milliseconds, that a block can be moved to another location again.  ",5400000
dfs.mover.moverThreads, Configure the balancer's mover thread pool size.  ,1000
dfs.mover.retry.max.attempts, The maximum number of retries before the mover consider the move failed.  ,10
dfs.mover.max-no-move-interval," If this specified amount of time has elapsed and no block has been moved out of a source DataNode, on more effort will be made to move blocks out of this DataNode in the current Mover iteration.  ",60000
dfs.namenode.audit.log.async," If true, enables asynchronous audit log.  ",false
dfs.namenode.audit.log.token.tracking.id," If true, adds a tracking ID for all audit log events.  ",false
dfs.namenode.available-space-block-placement-policy.balanced-space-preference-fraction," Only used when the dfs.block.replicator.classname is set to org.apache.hadoop.hdfs.server.blockmanagement.AvailableSpaceBlockPlacementPolicy. Special value between 0 and 1, noninclusive.  Increases chance of placing blocks on Datanodes with less disk space used.  ",0.6
